Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
a07486948287d14dfcda7bddcc0fd662b5077ff1,aug,2017,cool,auto,Brookhaven,697.6387615,695.3669725,693.1651376,30,FALSE,FALSE,FALSE,MS
a07486948287d14dfcda7bddcc0fd662b5077ff1,aug,2017,cool,hold,Brookhaven,701.3046133,698.8629579,698.7951153,30,FALSE,FALSE,FALSE,MS
a1302d2bf286582dca3d0d6a4eb8be790d8abbd8,aug,2017,auto,hold,Petal,744.1891892,740,670,15,FALSE,FALSE,FALSE,MS
a2f4ad7fc8992d8c25b2c24fe0be98cd28f1662d,aug,2017,cool,auto,Gulfport,708.5459662,707.3921201,694.1463415,0,FALSE,FALSE,FALSE,MS
a2f4ad7fc8992d8c25b2c24fe0be98cd28f1662d,aug,2017,cool,hold,Gulfport,698.1101215,696.2550607,696.2461538,0,FALSE,FALSE,FALSE,MS
a5cfd06334e34a5e3875635844b5527bcc3c162a,aug,2017,cool,auto,Brandon,747.7804878,681.3902439,688.6097561,15,FALSE,FALSE,FALSE,MS
a5cfd06334e34a5e3875635844b5527bcc3c162a,aug,2017,cool,hold,Brandon,692.4192695,689.9973531,689.9984119,15,FALSE,FALSE,FALSE,MS
a60a0a3e848c4d4eb8396c7cf700b5c1a9093412,aug,2017,auto,hold,Newton,724.3968085,739.1074468,650.2659574,0,FALSE,FALSE,TRUE,MS
a730762b6962670d2c393c925644b5ee81eb4bdc,aug,2017,cool,hold,Newton,686.4660194,683.8349515,683.8349515,90,FALSE,FALSE,FALSE,MS
acd97a13f88cef7f94754ac51666c66cb3789ce5,aug,2017,cool,auto,Biloxi,696,712,680,0,FALSE,FALSE,TRUE,MS
aceafa2b3bb77eeeb173bfd8177d9903893e07bd,aug,2017,auto,auto,Clinton,756.8823529,760,690,5,FALSE,FALSE,FALSE,MS
aceafa2b3bb77eeeb173bfd8177d9903893e07bd,aug,2017,auto,hold,Clinton,757.7272727,760,690,5,FALSE,FALSE,FALSE,MS
af7ff510f69ac0a20e38b3f3319b3d5f4e612e2d,aug,2017,cool,hold,Coldwater,721.0686275,720,720,20,FALSE,FALSE,FALSE,MS
b7c4ff8f7edec76cb9c11f61095c458b0f263ee7,aug,2017,cool,auto,Brandon,710.4269949,707.5568761,730,80,FALSE,FALSE,FALSE,MS
b7c4ff8f7edec76cb9c11f61095c458b0f263ee7,aug,2017,cool,hold,Brandon,721.5670732,720.4329268,720.4878049,80,FALSE,FALSE,FALSE,MS
be35204453ce52fb60900381376b731c0192106b,aug,2017,cool,hold,Meridian,755.0625495,754.439034,754.4263658,0,TRUE,FALSE,TRUE,MS
c1a6959582884a1b3059247f50f95861e9e03dce,aug,2017,cool,auto,Vicksburg,739.919598,752.5904523,657.7619347,35,FALSE,FALSE,FALSE,MS
c46244df34259c2508f601fd1ab7e084acce2f78,aug,2017,cool,auto,Hernando,720.6410256,721.4615385,690.2820513,5,TRUE,FALSE,FALSE,MS
c46244df34259c2508f601fd1ab7e084acce2f78,aug,2017,cool,hold,Hernando,731.4782609,731.6521739,728.7391304,5,TRUE,FALSE,FALSE,MS
c5b7a9591a03cc5fc6d0be096d68324779eb3088,aug,2017,auto,auto,Gulfport,768.6833333,775,725,55,FALSE,FALSE,FALSE,MS
cb0a84fc29ae0cb0bff3a61328f2c40d1a61df53,aug,2017,cool,hold,Tupelo,718.3337696,709.5772251,709.3965969,20,TRUE,FALSE,FALSE,MS
d04170882c6941c47c77a86b8a9eaa64305de614,aug,2017,cool,auto,Southaven,772.3133803,771.7130282,699.9964789,10,TRUE,FALSE,FALSE,MS
d0e83ead309629ba63f13c5a1bbda81104a0a2a1,aug,2017,cool,auto,Jackson,715.177305,726.1205674,716.9148936,30,FALSE,FALSE,FALSE,MS
d0e83ead309629ba63f13c5a1bbda81104a0a2a1,aug,2017,cool,hold,Jackson,703.0076134,707.0112546,707.0102615,30,FALSE,FALSE,FALSE,MS
d2258a056da69befa3483ff08730d1032c7f6359,aug,2017,cool,auto,Olive Branch,714.3459459,714.2702703,714.2702703,0,FALSE,FALSE,FALSE,MS
d2258a056da69befa3483ff08730d1032c7f6359,aug,2017,cool,hold,Olive Branch,687.6666667,686.5769231,686.4102564,0,FALSE,FALSE,FALSE,MS
d23049697dc10f7bda2995dcd45a259452e331c5,aug,2017,cool,auto,Belden,740.7692308,751.5384615,707.3846154,20,FALSE,FALSE,FALSE,MS
d23049697dc10f7bda2995dcd45a259452e331c5,aug,2017,cool,hold,Belden,737.4124629,741.9643917,734.9169139,20,FALSE,FALSE,FALSE,MS
d3c9171641f6343a46f7543f582be2d69bd9e8c4,aug,2017,auto,hold,gulfport,711.8733866,715,665,10,FALSE,FALSE,TRUE,MS
d79b7722ce022efc37b0e03ea4192a2acaf99916,aug,2017,cool,auto,Tupelo,724.3491078,725.772692,689.8456168,40,FALSE,FALSE,FALSE,MS
d79b7722ce022efc37b0e03ea4192a2acaf99916,aug,2017,cool,hold,Tupelo,722.5665984,722.9456967,722.579918,40,FALSE,FALSE,FALSE,MS
